ID	Hexagon_index	Cluster_base
Taar8a	152	39
Taar8b	152	39
Taar8c	152	39
Taar9	152	39
Stx7	111	38
Moxd1	299	29
Ctgf	662	26
Enpp1	576	26
Enpp3	661	26
Crsp3	661	26
Arg1	661	26
Akap7	576	26
Epb4.1l2	662	26
C030003D03Rik	441	2
L3mbtl3	598	3
Arhgap18	440	2
Lama2	441	2
Ptprk	160	21
E430004N04Rik	156	5
2310057J18Rik	376	6
6330407J23Rik	695	6
Echdc1	375	6
Rnf146	443	3
Rspo3	687	3
Hint3	123	21
Ncoa7	123	21
Hey2	87	33
Hddc2	373	2
Tpd52l1	373	2
Tcba1	444	4
A330019N05Rik	606	6
Sult3a1	204	5
2700019D07Rik	158	33
Rwdd1	119	33
4732454E20Rik	119	33
BB146404	119	33
A630077B13Rik	709	24
Tspyl1	709	24
Tspyl4	85	33
Nt5dc1	85	33
Col10a1	205	33
Frk	203	5
Hdac2	253	5
Marcks	442	3
Lama4	151	39
1700025K23Rik	238	12
Tube1	238	12
Fyn	661	26
Traf3ip2	136	8
Rev3l	43	12
BC021785	65	12
AI317395	65	12
Slc16a10	97	14
Bxdc1	135	8
2410016F19Rik	178	8
Amd1	228	8
Amd2	228	8
Cdc2l6	179	8
Slc22a16	25	12
9030224M15Rik	146	25
Wasf1	53	32
Gpr6	33	32
A530089I17Rik	35	33
Zbtb24	279	14
Mical1	279	14
Smpd2	279	14
Cd164	43	12
5033413D22Rik	44	12
2410017P07Rik	275	13
Sesn1	3	12
Armc2	11	12
Foxo3a	24	12
Lace1	65	12
Snx3	560	16
Nr2e1	98	8
Ostm1	134	8
Sec63	134	8
Scml4	26	12
Pdss2	130	13
AK122525	130	13
1700021F05Rik	94	13
Cd24a	478	16
Qrsl1	79	32
Rtn4ip1	79	32
Atg5	86	33
Prdm1	633	17
Prep	195	38
Popdc3	249	39
Bves	307	2
Lin28b	307	2
Hace1	609	6
Grik2	523	4
Sim1	697	6
Gp49a	608	6
Lilrb4	608	6
Gprc6a	607	6
Rfxdc1	524	6
Vgll2	314	5
Ros1	256	5
