ID	Hexagon_index	Cluster_base
202590_s_at	37	3
202591_s_at	111	1
202594_at	200	11
202595_s_at	194	10
202596_at	114	1
202598_at	244	10
202599_s_at	387	7
202600_s_at	397	3
202603_at	147	4
202609_at	335	8
202611_s_at	188	4
202613_at	201	11
202617_s_at	94	3
202619_s_at	370	11
202620_s_at	368	11
202621_at	47	4
202623_at	150	11
202625_at	146	4
202626_s_at	362	10
202629_at	217	3
202630_at	219	8
202635_s_at	105	4
202636_at	22	2
202641_at	115	11
202643_s_at	300	10
202644_s_at	363	10
202646_s_at	121	5
202647_s_at	193	10
202649_x_at	84	1
202651_at	229	2
202656_s_at	72	4
202657_s_at	113	1
202664_at	103	4
202669_s_at	61	3
202670_at	191	4
202672_s_at	367	11
202673_at	111	1
202678_at	141	4
202680_at	42	2
202683_s_at	254	11
202686_s_at	198	11
202690_s_at	114	1
202692_s_at	61	3
202693_s_at	358	10
202697_at	298	10
202701_at	89	3
202704_at	299	10
202705_at	1	1
202709_at	317	5
202718_at	314	5
202719_s_at	20	3
202721_s_at	12	1
202722_s_at	360	10
202732_at	193	10
202733_at	367	11
202734_at	195	10
202735_at	184	4
202736_s_at	154	11
202737_s_at	151	11
202740_at	45	4
202741_at	37	3
202743_at	275	8
202746_at	350	9
202747_s_at	287	4
202752_x_at	359	10
202756_s_at	62	3
202765_s_at	330	6
202766_s_at	94	3
202767_at	68	2
202769_at	113	1
202770_s_at	250	11
202771_at	373	11
202775_s_at	62	3
202783_at	211	7
202784_s_at	168	3
202786_at	335	8
202787_s_at	158	5
202789_at	20	3
202790_at	194	10
202791_s_at	68	2
202792_s_at	95	2
202793_at	26	4
202794_at	277	8
202796_at	278	8
202797_at	360	10
202800_at	171	8
202801_at	94	3
202804_at	80	1
202805_s_at	118	5
202808_at	138	2
202811_at	145	4
202812_at	54	1
202813_at	159	5
202814_s_at	244	10
202816_s_at	80	1
202824_s_at	144	4
202826_at	301	10
202829_s_at	186	4
202830_s_at	75	1
202833_s_at	343	8
202834_at	344	8
202842_s_at	190	4
202843_at	144	4
202854_at	195	10
202855_s_at	365	10
202856_s_at	365	10
202857_at	142	4
202872_at	238	10
202874_s_at	359	10
202878_s_at	127	3
202882_x_at	79	1
202884_s_at	358	10
202886_s_at	50	1
202887_s_at	368	11
202889_x_at	358	10
202890_at	363	10
202892_at	110	10
202893_at	101	4
202900_s_at	190	4
202909_at	94	3
202911_at	79	1
202912_at	365	10
202918_s_at	240	10
202920_at	178	8
202921_s_at	99	2
202923_s_at	78	1
202929_s_at	105	4
202934_at	367	11
202935_s_at	335	8
202936_s_at	274	8
202939_at	187	4
202941_at	103	4
202942_at	135	2
202947_s_at	396	6
202948_at	23	2
202949_s_at	93	3
202950_at	193	10
202956_at	108	4
202965_s_at	279	8
202966_at	174	8
202967_at	220	8
202973_x_at	248	11
202974_at	41	2
202976_s_at	98	2
202981_x_at	24	2
202982_s_at	277	8
202983_at	338	8
202986_at	219	8
202994_s_at	257	5
202995_s_at	255	5
202998_s_at	200	11
203000_at	343	8
203001_s_at	343	8
203002_at	250	11
203011_at	76	1
203017_s_at	394	12
203022_at	79	1
203023_at	30	1
203028_s_at	149	10
203029_s_at	335	8
203030_s_at	337	8
203033_x_at	60	3
203034_s_at	16	1
203037_s_at	388	7
203041_s_at	291	9
203042_at	293	10
203043_at	69	2
203052_at	8	3
203057_s_at	215	6
203060_s_at	181	2
203064_s_at	161	5
203066_at	133	2
203069_at	15	1
203071_at	21	2
203072_at	53	1
203074_at	194	10
203075_at	186	4
203076_s_at	47	4
203077_s_at	240	10
203080_s_at	387	7
203081_at	61	3
203082_at	116	11
203085_s_at	308	11
203088_at	98	2
203095_at	359	10
203097_s_at	183	4
203098_at	296	10
203099_s_at	241	10
203100_s_at	360	10
203102_s_at	190	4
203106_s_at	4	1
203107_x_at	56	1
203112_s_at	157	11
203113_s_at	122	5
203123_s_at	358	10
203124_s_at	193	10
203126_at	113	1
203127_s_at	25	1
203129_s_at	179	2
203130_s_at	178	8
203131_at	137	2
203133_at	139	4
203138_at	151	11
203139_at	188	4
203140_at	359	10
203142_s_at	54	1
203148_s_at	295	10
203149_at	153	11
203151_at	328	12
203153_at	27	1
203156_at	217	3
203164_at	233	4
203166_at	79	1
203173_s_at	26	4
203176_s_at	248	11
203177_x_at	247	11
203178_at	138	2
203183_s_at	209	7
203184_at	156	11
203185_at	175	8
203186_s_at	72	4
203194_s_at	112	1
203199_s_at	12	1
203207_s_at	78	1
203211_s_at	150	11
203216_s_at	195	10
203219_s_at	197	11
203221_at	131	3
203222_s_at	93	3
203228_at	92	3
203229_s_at	118	5
203232_s_at	278	8
203234_at	149	10
203235_at	253	11
203238_s_at	131	3
203245_s_at	107	4
203256_at	245	10
203263_s_at	191	4
203272_s_at	5	1
203275_at	94	3
203282_at	308	11
203296_s_at	247	11
203297_s_at	289	4
203298_s_at	350	9
203304_at	302	10
203308_x_at	325	12
203310_at	13	1
203312_x_at	295	10
203313_s_at	300	10
203315_at	41	2
203316_s_at	157	11
203318_s_at	169	3
203319_s_at	170	8
203325_s_at	194	10
203328_x_at	33	1
203333_at	63	3
203335_at	135	2
203339_at	395	12
203340_s_at	331	3
203343_at	108	4
203349_s_at	202	11
203351_s_at	14	1
203353_s_at	24	2
203355_s_at	129	3
203359_s_at	246	10
203360_s_at	194	10
203362_s_at	152	11
203365_s_at	200	11
203369_x_at	163	5
203370_s_at	264	7
203372_s_at	353	9
203373_at	353	9
203377_s_at	49	1
203381_s_at	364	10
203382_s_at	364	10
203383_s_at	392	12
203389_at	42	2
203400_s_at	344	8
203404_at	191	4
203405_at	78	1
203407_at	245	10
203408_s_at	22	2
203410_at	162	5
203413_at	275	8
203417_at	42	2
203420_at	9	2
203423_at	338	8
203424_s_at	332	8
203427_at	222	8
203428_s_at	102	4
203431_s_at	216	3
203434_s_at	303	10
203435_s_at	54	1
203436_at	82	1
203438_at	368	11
203439_s_at	369	11
203441_s_at	160	5
203445_s_at	68	2
203448_s_at	360	10
203449_s_at	361	10
203453_at	363	10
203455_s_at	363	10
203456_at	126	3
203459_s_at	38	3
203460_s_at	105	4
203462_x_at	116	11
203475_at	41	2
203476_at	262	7
203482_at	128	3
203484_at	50	1
203485_at	342	8
203496_s_at	393	12
203499_at	206	5
203501_at	23	2
203502_at	98	2
203504_s_at	193	10
203505_at	297	10
203509_at	246	10
203511_s_at	138	2
203524_s_at	161	5
203525_s_at	173	8
203526_s_at	217	3
203527_s_at	393	12
203528_at	196	11
203529_at	239	10
203537_at	46	4
203545_at	150	11
203548_s_at	56	1
203549_s_at	160	5
203550_s_at	159	5
203551_s_at	41	2
203556_at	139	4
203557_s_at	200	11
203558_at	61	3
203560_at	298	10
203562_at	178	8
203567_s_at	294	10
203570_at	137	2
203574_at	306	11
203576_at	155	11
203582_s_at	154	11
203583_at	187	4
203584_at	197	11
203586_s_at	73	4
203591_s_at	67	2
203594_at	241	10
203595_s_at	270	6
203596_s_at	269	6
203602_s_at	127	3
203607_at	143	4
203608_at	172	8
203610_s_at	357	10
203616_at	43	2
203620_s_at	175	8
203622_s_at	50	1
203623_at	393	12
203626_s_at	54	1
203631_s_at	12	1
203632_s_at	291	9
203635_at	12	1
203638_s_at	49	1
203639_s_at	153	11
203640_at	168	3
203641_s_at	357	10
203642_s_at	293	10
203647_s_at	104	4
203650_at	75	1
203658_at	66	2
203659_s_at	78	1
203665_at	137	2
203666_at	340	8
203683_s_at	210	7
203685_at	92	3
203696_s_at	79	1
203697_at	230	2
203698_s_at	286	2
203704_s_at	195	10
203705_s_at	245	10
203706_s_at	304	11
203710_at	196	11
203713_s_at	111	1
203714_s_at	107	4
203716_s_at	355	9
203717_at	295	10
203721_s_at	243	10
203723_at	131	3
203724_s_at	340	8
203725_at	193	10
203735_x_at	359	10
203736_s_at	26	4
203738_at	146	4
203739_at	302	10
203749_s_at	323	7
203753_at	99	2
203756_at	36	3
203765_at	248	11
203766_s_at	318	7
203767_s_at	239	10
203775_at	194	10
203778_at	149	10
203786_s_at	205	5
203787_at	256	5
203788_s_at	124	6
203789_s_at	126	3
203790_s_at	188	4
203793_x_at	125	6
203794_at	64	2
203795_s_at	170	8
203796_s_at	395	12
203797_at	233	4
203798_s_at	71	4
203799_at	135	2
203801_at	39	2
203803_at	360	10
203813_s_at	91	3
203814_s_at	299	10
203817_at	174	8
203819_s_at	151	11
203820_s_at	248	11
203825_at	61	3
203827_at	182	4
203829_at	26	4
203851_at	245	10
203852_s_at	297	10
203854_at	24	2
203855_at	338	8
203857_s_at	234	4
203859_s_at	172	8
203861_s_at	320	7
203862_s_at	257	5
203863_at	209	7
203864_s_at	390	12
203865_s_at	94	3
203867_s_at	116	11
203868_s_at	334	8
203869_at	240	10
203871_at	121	5
203872_at	385	7
203879_at	27	1
203881_s_at	250	11
203884_s_at	215	6
203886_s_at	231	2
203887_s_at	245	10
203888_at	30	1
203892_at	372	11
203893_at	31	1
203903_s_at	243	10
203905_at	75	1
203906_at	216	3
203907_s_at	88	6
203909_at	182	4
203910_at	247	11
203913_s_at	45	4
203914_x_at	357	10
203917_at	245	10
203921_at	275	8
203924_at	228	2
203926_x_at	36	3
203928_x_at	96	2
203929_s_at	279	8
203930_s_at	98	2
203934_at	246	10
203935_at	152	11
203939_at	173	8
203940_s_at	219	8
203945_at	13	1
203946_s_at	365	10
203951_at	317	5
203953_s_at	247	11
203954_x_at	32	1
203955_at	153	11
203961_at	367	11
203962_s_at	366	10
203963_at	24	2
203965_at	60	3
203967_at	192	10
203968_s_at	110	10
203971_at	298	10
203972_s_at	46	4
203973_s_at	246	10
203987_at	368	11
203988_s_at	299	10
203990_s_at	304	11
203991_s_at	304	11
203992_s_at	303	10
203998_s_at	68	2
203999_at	179	2
204004_at	368	11
204005_s_at	367	11
204011_at	202	11
204017_at	356	10
204018_x_at	335	8
204022_at	134	2
204023_at	78	1
204028_s_at	19	3
204029_at	172	8
204030_s_at	170	8
204036_at	279	8
204037_at	340	8
204038_s_at	395	12
204039_at	67	2
204040_at	219	8
204041_at	394	12
204042_at	317	5
204043_at	358	10
204044_at	241	10
204045_at	89	3
204047_s_at	358	10
204048_s_at	360	10
204049_s_at	360	10
204053_x_at	29	1
